A.5.1.1.1;"Existe-t-il des politiques de sécurité ?
"
A.5.1.2.1;"Les politiques de sécurité sont-elles passées en revue ?
"
A.6.1.1.1;Les responsabilités pour la protection des biens individuels et des processus de sécurité spécifiques sont-ils clairement identifiés, définis et communiqués aux parties concernés ?
A.6.1.2.1;"Les fonctions et les domaines de responsabilité sont-ils séparés, afin de limiter les
possibilités de modification ou de mauvais usage, non autorisé(e) ou involontaire, des actifs de
l’organisation ?"
A.6.1.3.1;"Existe-t-il une procédure permettant de documenter quand, et par qui, des contacts avec les autorités compétentes (application de la loi, etc.) seront-ils effectués?
"
A.6.1.4.1;Des personnes dans l'organisation investies dans la sécurité du SI ont-elles des relations appropriées avec des groupes d’intérêt, des forums spécialisés, professionnels, associations dans la sécurité de l’information
A.6.1.5.1;Tous les projets font-ils l'objet d'une évaluation de la sécurité de l'information?
A.6.2.1.1;"Existe-t-il une politique de sécurité mobile ?
"
A.6.2.2.1;"Y a-t-il une politique pour le télétravail ?
"
A.7.1.1.1;"La vérification des antécédents sont-elles effectuées sur tous les nouveaux candidats à l'emploi?
"
A.7.1.2.1;"Tous les employés, les parties prenantes et les utilisateurs tiers sont-ils priés de signer des accords de confidentialité et de non-divulgation?
"
A.7.2.1.1;"Les managers (de tous les niveaux) sont-ils engagés dans l’utilisation de la sécurité dans l’entreprise ?
"
A.7.2.2.1;Les employés, parties prenantes sont-ils inscrits à des formations de sensibilisation suivant leurs domaines de travail ?
A.7.2.3.1;"Existe-t-il un processus disciplinaire formel qui permet à l'organisation de prendre des mesures contre les employés qui ont commis une violation de la sécurité de l'information?
"
A.7.3.1.1;"Existe-t-il une procédure documentée pour mettre fin ou modifier des fonctions professionnelles d’un employé?
"
A.8.1.1.1;"Existe-t-il un inventaire de tous les actifs associés à l’information et moyens de traitement de l’information ?
"
A.8.1.2.1;Tous les biens informationnels ont-il un propriétaire clairement défini qui est conscient de ses responsabilités ?
A.8.1.3.1;"Existe-t-il une politique d'utilisation pour chaque classe / type d'actif d'information?
"
A.8.1.4.1;Y a-t-il un processus en place pour que les employés en fin de contrat retournent les actifs en leur possession ?
A.8.2.1.1;"Existe-t-il une politique régissant la classification de l'information?
"
A.8.2.2.1;Existe-t-il un processus ou une procédure pour s'assurer que la classification de l'information est correctement marquée sur chaque actif?
A.8.2.3.1;"Existe-t-il une procédure pour traiter chaque classification d'information?
"
A.8.3.1.1;"Existe-t-il une politique régissant les supports amovibles?
"
A.8.3.2.1;Existe-t-il une procédure formelle régissant la façon dont les supports amovibles sont détruits ?
A.8.3.3.1;"Existe-t-il une politique et un processus documentés détaillant la façon dont les médias physiques devraient être transportés?
"
A.9.1.1.1;"Existe-t-il une politique de contrôle d'accès documentée?
"
A.9.1.2.1;Des contrôles sont-ils en place pour s'assurer que les utilisateurs ont seulement accès aux ressources du réseau qu'ils ont été spécialement autorisés à utiliser et qui sont nécessaires à leurs tâches?
A.9.2.1.1;Existe-t-il un processus d'enregistrement de l'accès des utilisateurs en place?
A.9.2.2.1;"Y a-t-il un processus formel de maîtrise de la gestion des accès utilisateur pour
attribuer ou révoquer des droits d’accès à tous les types d’utilisateurs de tous les systèmes et de tous les services d’information ?"
A.9.2.3.1;Les comptes d'accès privilégiés sont-ils gérés et contrôlés séparément?
A.9.2.4.1;Existe-t-il un processus de gestion formel pour contrôler l'attribution d'informations d'authentification secrètes?
A.9.2.5.1;" Existe-t-il un processus permettant aux propriétaires d'actifs de réviser régulièrement leurs droits d'accès à leurs actifs?
"
A.9.2.6.1;Existe-t-il un processus pour s'assurer que les droits d'accès des utilisateurs sont supprimés lors de la cessation d'emploi ou du contrat, ou sont-ils ajustés en fonction du changement de rôle dans l’organisation ?
A.9.3.1.1;"Existe-t-il un document regroupant comment les informations contenant l’authentification secrète doit être utilisé ?
"
A.9.4.1.1;L'accès à l'information et les fonctions d'application système sont-elles restreintes conformément à la politique de contrôle d'accès?
A.9.4.2.1;Lorsque la politique de contrôle d'accès l'exige, l'accès est-il contrôlé par une procédure de connexion sécurisée?
A.9.4.3.1;"Les systèmes de mots de passe sont-ils interactifs?
"
A.9.4.4.1;Les programmes utilitaires à privilégiés sont-ils restreints et surveillés?
A.9.4.5.1;L'accès au code source des programmes est-il protégé?
A.10.1.1.1;Y a-t-il une politique pour les contrôles cryptographiques ?
A.10.1.2;Y a-t-il une politique pour la gestion sur l’utilisation, la protection et la durée de vie des clés cryptographiques (cycle de vie) ?
A.11.1.1.1;"1.  Y a-t-il un périmètre de sécurité définit ?
"
A.11.1.2.1;Les zones contrôlés ont-elles des systèmes permettant de vérifier que seulement les personnes autorisées ont accès ?
