A.5.1.1.1;"Existe-t-il des politiques de sécurité ?
"
A.5.1.1.2;Ces politiques sont-ils approuvées par le management ?
A.5.1.1.3;Ces politiques sont-elles communiqués aux employés de la société ?
A.5.1.2.1;"Les politiques de sécurité sont-elles passées en revue ?

"
A.5.1.2.2;Les revues sont-elles à un intervalle régulier ?
A.5.1.2.3;Des revues sont-elles établissent lors de changements ?
A.6.1.1.1;Les responsabilités pour la protection des biens individuels et des processus de sécurité spécifiques sont-ils clairement identifiés, définis et communiqués aux parties concernés ?
A.6.1.2.1;"Les fonctions et les domaines de responsabilité sont-ils séparés, afin de limiter les
possibilités de modification ou de mauvais usage, non autorisé(e) ou involontaire, des actifs de
l’organisation ?"
A.6.1.3.1;Existe-t-il une procédure permettant de documenter quand, et par qui, des contacts avec les autorités compétentes (application de la loi, etc.) seront-ils effectués?
A.6.1.3.2;Existe-t-il un processus qui détaille comment et quand le contact est requis?
A.6.1.3.3;"
Existe-t-il un processus de partage systématique des contacts et des renseignements?"
A.6.1.4.1;Des personnes dans l'organisation investies dans la sécurité du SI ont-elles des relations appropriées avec des groupes d’intérêt, des forums spécialisés, professionnels, associations dans la sécurité de l’information
A.6.1.5.1;Tous les projets font-ils l'objet d'une évaluation de la sécurité de l'information?
A.6.2.1.1;"Existe-t-il une politique de sécurité mobile ?
"
A.6.2.1.2;La politique est-elle approuvée par la direction?
A.6.2.1.3;Cette politique (document) reporte-t-il les risques additionnels concernant l’usage des appareils mobiles (Vol, utilisation de Hotspot, etc.) ?
A.6.2.2.1;Y a-t-il une politique pour le télétravail ?
A.6.2.2.2;La politique est-elle approuvée par la direction?
A.6.2.2.3;"Existe-t-il un processus défini pour que les « télétravailleurs » puissent accéder à distance à l’organisation ?
"
A.6.2.2.4;Les télétravailleurs ont-ils les conseils et l'équipement nécessaires pour protéger leurs biens?
A.7.1.1.1;"La vérification des antécédents sont-elles effectuées sur tous les nouveaux candidats à l'emploi?


"
A.7.1.1.2;Ces contrôles sont-ils approuvés par l'autorité de gestion appropriée?
A.7.1.1.3;Les contrôles des antécédents sont-ils règlementaires, éthiques et pertinents ?
A.7.1.1.4;Le niveau de contrôle est-il en adéquation avec l’analyse de risque ?
A.7.1.2.1;"Tous les employés, les parties prenantes et les utilisateurs tiers sont-ils priés de signer des accords de confidentialité et de non-divulgation?
"
A.7.1.2.2;Les contrats d'emploi / de services couvrent-ils spécifiquement la nécessité de protéger les informations commerciales?
A.7.2.1.1;"Les managers (de tous les niveaux) sont-ils engagés dans l’utilisation de la sécurité dans l’entreprise ?
"
A.7.2.1.2;Le management et la conduite des politiques conduit-il, encourage t-il les employés, les parties prenantes, les utilisateurs à appliquer les politiques et procédures de sécurité ?
A.7.2.2.1;Les employés, parties prenantes sont-ils inscrits à des formations de sensibilisation suivant leurs domaines de travail ?
A.7.2.3.1;Existe-t-il un processus disciplinaire formel qui permet à l'organisation de prendre des mesures contre les employés qui ont commis une violation de la sécurité de l'information?
A.7.2.3.2;"
Celles-ci sont elles communiqués aux parties intéressés ?"
A.7.3.1.1;"Existe-t-il une procédure documentée pour mettre fin ou modifier des fonctions professionnelles d’un employé?

"
A.7.3.1.2;Y a-t-il des fonctions dans la sécurité de l’information pouvant ne pas survivre si un employé est en rupture de contrat ?
A.7.3.1.3;L'organisation est-elle en mesure de faire respecter les obligations d’un employé en sécurité de l’information avant son départ ?
A.8.1.1.1;"Existe-t-il un inventaire de tous les actifs associés à l’information et moyens de traitement de l’information ?
"
A.8.1.1.2;Cet inventaire est-il mise à jour ?
A.8.1.2.1;Tous les biens informationnels ont-il un propriétaire clairement défini qui est conscient de ses responsabilités ?
A.8.1.3.1;"Existe-t-il une politique d'utilisation pour chaque classe / type d'actif d'information?
"
A.8.1.3.2;Les utilisateurs sont-ils au courant de cette politique avant utilisation?
A.8.1.4.1;Y a-t-il un processus en place pour que les employés en fin de contrat retournent les actifs en leur possession ?
A.8.2.1.1;"Existe-t-il une politique régissant la classification de l'information?
"
A.8.2.1.2;Existe-t-il un processus par lequel toutes les informations peuvent être classées de manière appropriée?
A.8.2.2.1;Existe-t-il un processus ou une procédure pour s'assurer que la classification de l'information est correctement marquée sur chaque actif?
A.8.2.3.1;"Existe-t-il une procédure pour traiter chaque classification d'information?
"
A.8.2.3.2;Les utilisateurs d'actifs informationnels ont-ils été informés de cette procédure?
A.8.3.1.1;"Existe-t-il une politique régissant les supports amovibles?

"
